Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,4.079562682,4.005591315,4.202005449,4.473252092,4.720811332,5.045158657,5.050165622,5.069920047,5.104409277,5.184016507,5.478444302,5.561135299,5.682890188,5.649218136,5.634000683,5.597939169,5.597316051,5.600116568,5.527484073,5.264587145,5.850042566,5.976269356,3.073075912,1.481265051,0.8346584,1.070631377,0.791189285,1.028374245,1.082346004,0.980082001,1.108192853,1.131234822,0.969216826,1.090557738,1.187715252,1.418287567,1.421604682,1.658621355,1.829613553,1.468297456,1.411849711,1.619505268,1.874673457,1.817471873,1.911307983,1.869333688,1.796043177,1.909310599,2.004344897,2.168472574,2.334560189,2.534922189,2.454971036,2.606045272,
American Samoa,ASM,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,0.003700141,0.003632005,0.003572066,0.003516669,0.003463203,0.003402518,0.003337895,0.003276433,0.003217917,0.003163456,0.003086134,0.002977608,0.002864591,0.002757024,0.002654844,0.002557349,0.002464815,0.002376878,0.002292789,0.00221283,0.002144082,0.002088467,0.002039235,0.00199366,0.001951181,0.001911461,0.001874309,0.00183952,0.001807207,0.001777841,0.00175886,0.001752756,0.00175248,0.001755279,0.001760006,0.001766254,0.001773867,0.001782118,0.001791216,0.001800893,0.001810676,0.00182166,0.001835233,0.001851646,0.001870348,0.001891146,0.001914059,0.00193851,0.001964328,0.001991675,0.002009606,0.002031488,0.002068595,0.002104333,
Antigua and Barbuda,ATG,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,1.586908009,1.580435354,1.928344812,1.953622828,1.746854413,2.122526982,1.927480317,2.124894303,2.119054312,2.087936024,2.056949762,1.798499961,2.278305163,1.313641544,1.607533677,1.620968866,1.722260253,2.286304069,2.481806894,2.555073036,2.595693401,2.593591746,2.569716167,2.45932883,2.628547492,2.696915925,2.62023789,2.716282212,2.728829476,2.717671653,1.807454079,1.739210454,1.943348219,2.096707925,2.107496284,2.160505458,2.429159843,2.622882601,2.782468159,3.162534304,3.264181903,2.457953019,2.591107036,2.944449491,3.148763589,3.252468991,3.497871489,3.061856126,3.243296747,3.724661792,3.00394138,3.304854411,3.301378716,3.462428737,
Australia,AUS,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,12.82297114,12.53054804,12.74621689,13.25250374,13.61555782,13.93471532,13.99444167,14.77337937,14.34660816,14.59593496,15.11126463,14.94142031,15.09870065,14.14452828,14.34709483,15.07035078,14.88263772,15.34594402,15.62912756,16.3051277,16.27367225,16.18450691,16.19765502,16.27598667,16.42055126,16.81167919,17.15639492,17.49824961,18.38544434,18.50456171,18.59653067,18.69850536,18.90828055,18.66639163,19.16155756,19.03596519,19.07740202,19.23720817,19.02589834,18.91323819,18.84884769,18.47847612,18.18109558,17.53934787,16.87948544,16.81820978,16.88676245,16.70572857,16.39235952,16.09880407,15.30333755,14.97648549,14.41042324,14.01791641,
Austria,AUT,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,7.093423057,7.417296648,7.667624444,8.061570382,7.720398293,7.434149771,8.152626553,7.791021388,8.048934816,8.385843955,8.140068267,7.662045448,7.371978865,7.385991105,7.625471571,7.816459649,7.651859483,7.72418453,7.529098652,7.495688403,8.017778415,8.446334062,7.717350561,7.660967819,7.697882012,8.058739264,8.540300894,8.475144643,8.53620423,8.286125537,8.324302639,8.875080776,9.059191975,9.62461874,9.741242193,9.772930381,9.46564254,9.093884422,9.041270945,8.156977741,8.823656014,8.603166269,8.188276832,8.209216159,7.71428197,7.794914528,7.758392559,7.968829106,7.599868831,7.717772232,7.020382951,7.389102276,6.771146749,6.44071828,
Azerbaijan,AZE,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,4.684158119,4.590143764,4.798523588,5.105061978,5.403693177,5.750538315,5.836602664,5.950818138,6.185604444,6.322220941,6.561837513,6.653877192,6.671909777,6.69904641,6.708100824,6.714931448,6.744930062,6.783363756,6.671708772,6.594541125,7.821984056,7.541168704,6.082497409,5.254963441,4.543114967,4.408661197,3.658611362,3.49825535,3.459737141,3.431474116,3.577566285,3.417126936,3.363493413,3.616096477,3.551543972,3.72018089,3.764407069,3.370211973,3.677864756,3.127466193,2.94177417,3.212518977,3.472606506,3.526813405,3.641721269,3.577695099,3.526907467,3.47367418,3.497253609,3.689171585,3.507735615,3.692594511,3.887571344,4.211776334,
Burundi,BDI,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,0.01651356,0.016144687,0.016090113,0.016611337,0.017334532,0.017489277,0.01769421,0.017823155,0.017608304,0.019554993,0.018500328,0.01933853,0.015743187,0.018654357,0.021577338,0.021116232,0.021737376,0.030889211,0.042793291,0.044556488,0.035868648,0.049598018,0.038030816,0.043668638,0.044943395,0.041672738,0.044757389,0.044760811,0.046354452,0.046598197,0.045547321,0.035331188,0.032443687,0.02603947,0.029887879,0.024237874,0.029533865,0.045565516,0.026029796,0.024900404,0.034256057,0.043105675,0.040125,0.043767131,0.037639638,0.039085483,0.042884657,0.046598687,0.060786988,0.064804425,0.069913409,0.068443276,0.063027842,0.061675232,
Belgium,BEL,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,14.42245283,13.35022612,14.49345415,15.00205303,14.83539541,13.02869183,13.98767822,13.7077612,14.14462311,15.07046538,13.97449216,12.76695708,11.98489941,11.00300136,11.28682915,11.03704611,11.09032275,11.0914797,11.28377008,11.35102026,11.61876156,11.96775127,11.70985066,11.47275391,12.07156904,12.07643114,12.544418,12.22036205,12.48692542,12.03125943,12.19066943,12.24256482,11.46771175,11.88994012,11.70516231,11.37026957,11.01552547,10.63679569,10.67992422,9.948026642,10.55262195,9.473636434,9.281257867,9.357352053,8.718351597,9.080833791,8.936301199,8.764748586,8.759746825,8.693765678,7.996374605,8.307386506,7.68302111,7.152207908,
Benin,BEN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,0.101596806,0.115383376,0.143910775,0.145119714,0.145421757,0.159226472,0.103589948,0.117879158,0.122125538,0.133428379,0.136398921,0.110194693,0.12428439,0.119117228,0.11884078,0.135896512,0.118235367,0.104202855,0.091517776,0.078255924,0.075187272,0.064054407,0.067517005,0.065404262,0.064020277,0.063708762,0.168073196,0.207158497,0.193593362,0.205674344,0.213927099,0.249328596,0.279072458,0.303194588,0.313478433,0.332405902,0.443804509,0.491044809,0.472895495,0.492353742,0.51841881,0.491280485,0.454246567,0.464018772,0.494850229,0.511298574,0.610839162,0.601464479,0.665910436,0.630789231,0.656051196,0.481443319,0.481049422,0.456231627,
Burkina Faso,BFA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,0.040336495,0.039698675,0.038865319,0.039445683,0.041660415,0.042407007,0.043005206,0.043445568,0.043089165,0.048226593,0.046143439,0.043107608,0.039113392,0.041503727,0.039049151,0.036700298,0.043444726,0.060008686,0.05732417,0.046249513,0.035624775,0.048878977,0.040813041,0.041755671,0.044360822,0.044412472,0.047982619,0.074728675,0.068608047,0.068898917,0.073690546,0.08244001,0.084852042,0.091389037,0.079048731,0.081674559,0.080612468,0.109973423,0.12494353,0.117466088,0.121750703,0.134102289,0.152157951,0.173841701,0.15136487,0.207940498,0.201573779,0.224113239,0.243185731,0.263253155,0.256975635,0.269703772,0.27295258,0.260547136,
Bangladesh,BGD,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,0.048341348,0.047600375,0.048427226,0.055591054,0.056900542,0.0664433,0.069506955,0.070564225,0.073868464,0.080390926,0.087681355,0.086337009,0.090769216,0.095048883,0.089672372,0.097707993,0.105056169,0.11327344,0.11882927,0.128645813,0.132268282,0.123632634,0.135672295,0.143494128,0.149566433,0.177625891,0.17686861,0.188333834,0.188840145,0.19778202,0.20048266,0.238508145,0.247169768,0.255250836,0.265234027,0.27899306,0.296997446,0.312232079,0.343315957,0.365306179,0.399174831,0.425099568,0.450489808,0.460371266,0.485151359,0.53600763,0.584386984,0.622894753,0.645077045,0.655345934,0.616107742,0.695944755,0.732520444,0.727798394,
Bulgaria,BGR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,8.135025385,8.083095967,8.315139572,8.385683416,8.429836342,8.974809712,9.035954266,9.330667025,10.00765597,10.36545682,10.67602848,10.20338614,10.38322921,10.25213491,10.05641425,10.29831103,10.42357865,10.4460205,10.33882517,10.33026802,9.182099836,7.520393885,7.262389809,7.416428076,7.108646073,7.300263012,7.373141567,7.13762207,6.885827003,6.104115838,5.896424212,6.295580725,6.072926153,6.875620794,6.66863206,6.853152094,7.108688805,7.638743288,7.281996103,6.250863899,6.694210976,7.455110877,6.832174268,6.208221922,6.688954322,7.138114823,6.835139239,7.243291216,6.889359507,6.736428258,6.028504452,7.036020003,7.744369497,6.172652978,
Bahrain,BHR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,,,,,,,,,,,13.24724544,12.98817248,14.80796157,17.71659094,19.81541641,19.4218392,20.03807119,21.06430793,21.25921365,21.66559424,21.01242973,21.62056521,21.98597871,22.04778055,21.78661412,22.4183122,24.5788575,23.16345975,23.57640401,22.96376428,23.30413736,22.99802009,26.36284073,27.77632137,27.55425578,27.2745979,27.52600245,27.60004413,28.49421832,27.90049421,27.87327748,27.82709023,27.05906526,26.02440495,24.18308667,26.29345358,26.49767186,24.87445817,25.07385618,23.46847248,23.47113613,24.2703051,24.99354819,25.63918828,25.33330493,24.42892984,23.5029774,22.48720285,22.50296223,24.83380017,25.0267626,24.77829516,23.80092255,23.7312618,
